Name,Team,Pos,GP,G,A,P,PlusMinus,PIM,PPg,PPa,PPp,SHg,SHa,SHp,GWG,GT,FG,EN,SOG,Sh,HT,GA,TA,FO,SB,2,5,Mi,Ma,GM,FI,FW,ATOI,APPT,APKT,+,-,FS,AvR,
Dillon Dubé,Calgary,C/RW,80,13,13,26,-40,36,0,0,0,0,0,0,1,0,2,0,76,17.1,64,13,9,0.54,33,18,0,0,0,0,0,0,10:58,0:01,0:00,35,75,1,6.60,
Devin Shore,Tampa Bay,LW/C/RW,63,12,14,26,3,18,0,0,0,0,0,0,2,0,1,0,101,11.9,46,10,6,0,12,9,0,0,0,0,0,0,12:01,0:00,0:00,35,32,1,6.92,
Kyle Turris,Nashville,C,82,11,15,26,-35,32,0,0,0,0,0,0,1,0,0,0,94,11.7,34,9,29,0.56,47,16,0,0,0,0,0,0,13:38,0:00,0:18,39,74,0,6.29,
Warren Foegele,Chicago,LW,55,10,16,26,3,6,0,0,0,0,0,0,0,0,1,0,109,9.2,9,10,7,0,31,3,0,0,0,0,0,0,10:41,0:00,0:00,36,33,1,7.33,
Jason Spezza,Toronto,RW/C/LW,64,9,17,26,-7,6,1,2,3,0,0,0,0,0,0,0,107,8.4,54,10,4,0.19,19,3,0,0,0,0,0,0,13:47,0:54,0:00,38,45,0,6.22,
Sam Bennett,Calgary,LW/C/RW,77,9,17,26,-37,64,0,0,0,0,0,0,0,0,0,0,100,9.0,93,15,10,0.16,29,32,0,0,0,0,0,0,11:23,0:00,0:00,33,70,0,6.73,
Jordan Kyrou,Carolina,RW/C,70,8,18,26,-29,18,0,1,1,0,0,0,1,0,0,0,82,9.8,16,9,14,0.10,23,9,0,0,0,0,0,0,12:46,0:04,0:00,35,64,1,6.07,
Cal Clutterbuck,Detroit,RW,62,7,19,26,-20,8,0,0,0,0,0,0,0,0,2,0,126,5.6,27,18,59,0,53,4,0,0,0,0,0,0,13:57,0:00,0:22,47,67,0,6.87,
Timothy Liljegren,Toronto,RD,82,4,22,26,1,28,0,0,0,0,0,0,0,0,0,0,116,3.4,114,19,6,0,70,14,0,0,0,0,0,0,15:15,0:01,0:20,78,77,0,7.37,
Noah Dobson,NY Islanders,RD/LD,82,3,23,26,-1,18,0,4,4,0,0,0,1,0,0,0,108,2.8,12,22,25,0,57,9,0,0,0,0,0,0,16:16,1:40,0:00,65,66,1,7.01,
Chad Krys,Chicago,LD/RD,74,2,24,26,14,10,0,0,0,0,0,0,0,0,0,0,104,1.9,31,27,92,0,59,5,0,0,0,0,0,0,17:35,0:04,0:16,85,71,0,7.19,
Jonathan Dahlén,New Jersey,LW,47,11,14,25,-9,8,0,0,0,0,0,0,2,0,1,0,58,19.0,9,12,4,0,24,4,0,0,0,0,0,0,13:06,0:00,0:00,29,38,3,6.89,
Joey Anderson,Binghamton,RW,79,9,16,25,-36,10,0,0,0,0,0,0,1,1,3,0,111,8.1,73,14,12,0.10,39,5,0,0,0,0,0,0,12:41,0:00,0:00,35,71,2,6.65,
Colton Sissons,Nashville,RW/C/LW,79,8,17,25,-33,34,0,0,0,0,0,0,0,0,1,0,153,5.2,50,16,29,0.14,14,12,0,1,0,0,0,0,12:53,0:00,0:00,35,68,2,6.70,
Lawson Crouse,Arizona,LW,82,8,17,25,-15,54,0,0,0,0,0,0,1,0,2,0,156,5.1,61,17,14,0,65,17,0,2,0,0,0,0,14:00,0:00,1:05,39,54,0,6.79,
Boo Nieves,NY Rangers,C/LW,60,7,18,25,-11,10,0,0,0,0,0,0,0,0,0,0,68,10.3,15,4,9,0.53,32,5,0,0,0,0,0,0,13:02,0:02,0:00,33,44,0,6.47,
Joel Persson,Edmonton,RD,57,4,21,25,5,6,0,2,2,0,0,0,0,0,1,0,87,4.6,3,12,33,0,51,3,0,0,0,0,0,0,17:23,0:23,0:00,65,60,1,7.14,
Jacob Larsson,Anaheim,LD/RD,82,4,21,25,-4,18,3,3,6,0,0,0,0,0,1,0,85,4.7,18,42,68,0,148,9,0,0,0,0,0,0,19:43,1:02,0:57,68,72,1,6.83,
Ben Hutton,Chicago,LD,73,3,22,25,29,0,0,0,0,0,0,0,0,0,0,0,82,3.7,32,26,202,0,72,0,0,0,0,0,0,0,16:54,0:00,0:39,85,56,0,7.22,
Alexander Alexeyev,Hershey,LD/RD,82,1,24,25,-24,30,0,0,0,0,0,0,0,0,0,0,67,1.5,25,45,84,0,100,15,0,0,0,0,0,0,18:21,0:00,0:39,87,111,0,6.65,
Linden Vey,Calgary,C/RW,75,11,13,24,-47,34,0,1,1,0,0,0,0,2,2,0,78,14.1,41,11,9,0.46,44,17,0,0,0,0,0,0,11:24,0:11,0:02,33,80,0,6.43,
Nick Cousins,Los Angeles,C/RW/LW,62,10,14,24,-27,28,0,0,0,0,0,0,1,0,1,0,76,13.2,9,14,15,0.45,44,14,0,0,0,0,0,0,14:08,0:03,0:29,35,62,0,6.44,
Zemgus Girgensons,San Jose,LW/C,75,8,16,24,-33,4,0,0,0,0,0,0,0,0,1,0,160,5.0,51,18,63,0.16,44,2,0,0,0,0,0,0,13:44,0:00,0:45,36,69,1,6.68,
Matt Niskanen,Boston,RD/LD,77,6,18,24,-23,16,0,1,1,0,1,1,1,0,1,0,109,5.5,92,43,133,0,119,8,0,0,0,0,0,0,21:13,0:45,2:00,64,87,1,6.87,
Ty Smith,Binghamton,LD/RD,71,5,19,24,-23,18,1,3,4,0,0,0,1,0,0,0,93,5.4,29,32,70,0,81,9,0,0,0,0,0,0,18:16,0:32,0:25,59,82,0,6.75,
John Moore,Boston,LD,79,3,21,24,-14,48,0,0,0,0,1,1,1,0,1,0,75,4.0,68,45,136,0,105,19,0,1,0,0,0,0,18:34,0:00,1:03,71,85,1,6.75,
Louis Belpedio,Minnesota,RD,82,0,24,24,-25,28,0,0,0,0,0,0,0,0,0,0,57,0.0,42,36,59,0,118,14,0,0,0,0,0,0,16:13,0:00,0:19,74,99,0,6.78,
Michael Grabner,Arizona,RW/LW,32,11,12,23,7,6,2,1,3,0,0,0,3,0,1,0,140,7.9,1,4,38,0,25,3,0,0,0,0,0,0,16:14,1:12,1:18,31,24,0,7.19,
Tye Felhaber,Dallas,LW/C,72,10,13,23,-38,6,1,1,2,0,0,0,0,1,1,0,100,10.0,43,15,8,0.11,43,3,0,0,0,0,0,0,12:54,0:08,0:00,33,71,0,6.56,
Cédric Paquette,Philadelphia,C/LW,62,10,13,23,-16,20,0,0,0,0,0,0,1,0,1,0,110,9.1,64,8,20,0.52,25,10,0,0,0,0,0,0,12:53,0:00,0:00,40,56,2,6.60,
Miles Wood,New Jersey,LW,72,10,13,23,-17,36,0,0,0,0,0,0,1,0,1,0,147,6.8,78,27,82,0.06,51,18,0,0,0,0,0,0,14:38,0:00,1:26,36,53,1,6.76,
Riley Sutter,Hershey,RW/LW,58,8,15,23,-26,8,0,0,0,0,0,0,0,1,3,0,123,6.5,30,12,24,0,42,4,0,0,0,0,0,0,13:45,0:00,0:02,36,62,0,6.72,
Frans Nielsen,Detroit,C,57,7,16,23,-25,4,2,0,2,0,0,0,0,0,0,0,90,7.8,13,10,30,0.54,28,2,0,0,0,0,0,0,13:34,0:27,0:03,31,56,0,6.51,
Anton Strålman,Florida,RD,77,5,18,23,-26,12,1,3,4,0,0,0,0,0,0,0,82,6.1,31,25,108,0,101,6,0,0,0,0,0,0,18:56,1:23,1:14,69,95,0,6.83,
Markus Nutivaara,Columbus,LD,76,4,19,23,-2,16,0,0,0,0,0,0,1,0,2,0,85,4.7,13,41,245,0,92,8,0,0,0,0,0,0,17:20,0:00,0:07,74,76,0,7.11,
Chris Bigras,Philadelphia,LD,75,4,19,23,-5,22,1,1,2,0,0,0,0,0,0,0,84,4.8,64,12,28,0,74,11,0,0,0,0,0,0,14:16,0:14,0:05,71,76,0,7.15,
