Name,Team,Pos,GP,G,A,P,+/-,PIM,PPg,PPa,PPp,SHg,SHa,SHp,GWG,GT,FG,EN,SOG,Sh ,HT,GA,TA,FO,SB,2,5,Mi,Ma,GM,FI,FW,ATOI,APPT,APKT,+,-,FS,Av R,
Esa Lindell,New Jersey,LD,82,4,43,47,16,8,0,6,6,0,0,0,0,0,2,0,139,2.9,29,45,227,0,133,4,0,0,0,0,0,0,21:28,1:01,1:09,111,95,3,7.26,
Liam Foudy,Pittsburgh,C/LW,77,24,22,46,-3,2,0,0,0,0,0,0,3,0,1,0,201,11.9,64,16,10,0.07,37,1,0,0,0,0,0,0,13:20,0:00,0:05,64,67,1,7.38,
Victor Olofsson,San Jose,RW/LW,77,23,23,46,-11,4,1,1,2,0,0,0,0,0,1,0,142,16.2,10,17,6,0.00,38,2,0,0,0,0,0,0,13:28,0:10,0:00,57,68,1,7.18,
Logan Barlage,Columbus,LW/C,82,21,25,46,-20,4,1,0,1,0,0,0,1,0,3,0,167,12.6,52,30,71,0.04,64,2,0,0,0,0,0,0,15:15,0:12,1:13,62,82,4,7.09,
Jordan Greenway,Minnesota,LW/RW,78,18,28,46,3,4,1,2,3,0,0,0,2,1,2,0,151,11.9,32,10,92,0.11,54,2,0,0,0,0,0,0,16:08,1:17,1:06,62,59,3,7.17,
Mitchell Stephens,Colorado,C,82,17,29,46,-9,6,0,0,0,0,0,0,4,0,1,0,147,11.6,15,13,57,0.56,36,3,0,0,0,0,0,0,13:21,0:00,0:00,60,69,0,6.68,
Jack Smith,Winnipeg,C,82,17,29,46,-14,8,0,0,0,0,0,0,4,1,2,0,99,17.2,6,9,31,0.46,67,4,0,0,0,0,0,0,13:13,0:00,0:00,53,67,1,6.24,
Jason Dickinson,Dallas,C/LW,79,17,29,46,1,12,0,1,1,0,0,0,1,1,1,0,138,12.3,10,14,49,0.52,45,6,0,0,0,0,0,0,13:22,0:06,0:00,61,60,3,6.90,
Nikolaj Ehlers,Chicago,RW/LW,68,13,33,46,-16,10,0,1,1,0,0,0,3,0,2,0,148,8.8,6,13,35,0.00,28,5,0,0,0,0,0,0,14:11,0:27,0:17,60,76,3,7.31,
Timothy Liljegren,Toronto,RD,67,9,37,46,2,30,0,3,3,0,1,1,0,0,0,0,131,6.9,150,31,32,0,116,15,0,0,0,0,0,0,21:39,0:42,0:53,103,101,1,7.94,
Callan Foote,Colorado,RD,82,8,38,46,15,20,4,13,17,0,0,0,1,0,0,0,126,6.3,41,42,251,0,146,10,0,0,0,0,0,0,20:52,1:54,0:51,110,95,0,7.34,
Ben Gleason,Vegas,LD,82,5,41,46,-10,30,0,2,2,0,0,0,0,0,0,0,148,3.4,22,39,167,0,139,15,0,0,0,0,0,0,24:57,0:40,0:58,130,140,1,7.05,
Bryan Rust,Columbus,LW/RW,78,24,21,45,2,4,1,0,1,0,0,0,5,1,4,0,194,12.4,20,16,103,0.05,61,2,0,0,0,0,0,0,14:32,0:03,0:47,61,59,3,7.27,
Troy Terry,Chicago,RW/C,73,22,23,45,8,4,0,0,0,0,0,0,1,0,0,0,170,12.9,2,10,28,0,21,2,0,0,0,0,0,0,12:43,0:01,0:00,65,57,0,7.41,
Fabian Zetterlund,Tampa Bay,RW,82,20,25,45,-12,16,0,0,0,0,0,0,1,0,4,0,170,11.8,27,17,22,0,29,8,0,0,0,0,0,0,12:56,0:00,0:00,63,75,0,7.06,
Jakob Silfverberg,St. Louis,LW/RW,72,14,31,45,-2,10,0,0,0,0,0,0,1,0,1,0,184,7.6,22,24,122,0,51,5,0,0,0,0,0,0,14:50,0:13,0:47,57,59,0,7.24,
Adam Boqvist,Chicago,RD/LD,73,13,32,45,10,8,4,7,11,0,0,0,3,0,4,0,199,6.5,20,30,121,0.00,90,4,0,0,0,0,0,0,21:44,2:05,0:40,110,100,2,7.82,
Jake Gardiner,Philadelphia,LD/RD,82,7,38,45,-3,22,1,4,5,0,0,0,0,0,0,0,137,5.1,10,29,145,0,122,11,0,0,0,0,0,0,24:08,0:37,1:09,116,119,0,7.06,
Kirill Nizhnikov,Arizona,LW/RW,82,22,22,44,-19,10,0,0,0,0,0,0,1,0,2,0,190,11.6,14,22,9,0,25,5,0,0,0,0,0,0,13:52,0:00,0:00,58,77,0,6.90,
Jason Zucker,Nashville,RW/LW,78,20,24,44,-50,8,5,0,5,0,0,0,0,1,3,0,279,7.2,24,14,35,0.06,67,4,0,0,0,0,0,0,16:36,1:19,0:49,52,102,1,6.99,
Cole Fonstad,Montreal,LW/C,82,20,24,44,-5,12,0,0,0,0,0,0,4,0,4,0,163,12.3,17,9,79,0,40,6,0,0,0,0,0,0,14:06,0:00,0:27,56,61,2,7.33,
Phil Kessel,Colorado,RW,80,20,24,44,-6,22,0,1,1,0,0,0,2,0,1,0,126,15.9,21,5,13,0,40,6,0,1,0,0,0,0,14:22,0:03,0:00,73,79,3,7.26,
Connor Dewar,Minnesota,C,82,18,26,44,-21,2,0,0,0,0,0,0,5,0,3,0,137,13.1,3,8,31,0.54,71,1,0,0,0,0,0,0,13:53,0:00,0:00,65,86,0,6.55,
