Name,Team,Pos,GP,G,A,P,+/-,PIM,PPg,PPa,PPp,SHg,SHa,SHp,GWG,GT,FG,EN,SOG,Sh ,HT,GA,TA,FO,SB,2,5,Mi,Ma,GM,FI,FW,ATOI,APPT,APKT,+,-,FS,Av R,
Jesper Bratt,Washington,RW/LW,22,11,14,25,6,2,1,2,3,0,0,0,1,0,1,0,60,18.3,1,1,2,0,5,1,0,0,0,0,0,0,16:17,1:27,0:01,30,24,1,7.73,
Brayden Tracey,Anaheim,LW,48,9,16,25,-12,2,0,0,0,0,0,0,2,0,2,0,92,9.8,7,14,3,0,22,1,0,0,0,0,0,0,13:06,0:00,0:00,27,39,0,6.90,
Jacob de la Rose,Pittsburgh,LW/C,63,8,17,25,-16,14,0,0,0,0,0,0,0,0,1,0,95,8.4,90,10,28,0,22,7,0,0,0,0,0,0,12:06,0:00,0:00,40,56,0,7.00,
Jakob Chychrun,Los Angeles,LD,50,6,19,25,1,26,1,3,4,0,0,0,2,1,0,0,99,6.1,8,20,122,0,99,8,0,1,0,0,0,0,23:33,1:19,1:10,76,75,0,7.22,
Brandon Montour,Winnipeg,RD,77,5,20,25,28,32,0,3,3,0,0,0,1,0,0,0,133,3.8,35,33,191,0,146,16,0,0,0,0,0,0,22:10,1:11,1:41,101,73,0,7.25,
Rasmus Sandin,Toronto,LD,68,3,22,25,-5,16,0,1,1,0,0,0,0,0,1,0,80,3.8,115,22,13,0,103,8,0,0,0,0,0,0,18:10,0:03,0:16,76,81,0,7.22,
Colin Miller,New Jersey,RD,48,2,23,25,21,28,0,0,0,0,0,0,1,0,0,0,54,3.7,10,22,103,0,70,14,0,0,0,0,0,0,20:03,0:16,0:38,75,54,0,7.23,
Max Bulawka,Anaheim,C/RW,46,13,11,24,-9,0,1,1,2,0,0,0,0,1,2,0,107,12.1,2,2,7,0.51,37,0,0,0,0,0,0,0,14:50,1:03,0:00,40,49,1,6.80,
Lias Andersson,NY Rangers,LW/C,68,8,16,24,1,22,0,0,0,0,0,0,0,0,0,0,105,7.6,60,22,31,0.13,44,11,0,0,0,0,0,0,14:02,0:06,1:45,42,41,0,6.88,
Jalal Hohnadel,Nashville,RW,82,7,17,24,-91,4,0,0,0,0,0,0,0,1,1,0,117,6.0,12,12,5,0,41,2,0,0,0,0,0,0,13:57,0:29,0:00,36,127,0,6.35,
Travis Dermott,NY Rangers,RD,73,5,19,24,15,44,0,0,0,0,0,0,1,0,3,0,86,5.8,43,30,48,0,102,17,0,1,0,0,0,0,16:07,0:00,0:15,73,58,3,7.14,
Markus Nutivaara,Columbus,LD,82,2,22,24,-6,14,0,0,0,0,0,0,0,0,0,0,94,2.1,14,35,389,0,118,7,0,0,0,0,0,0,20:00,0:17,0:53,83,89,1,7.10,
Haydn Fleury,New Jersey,LD,81,2,22,24,10,32,0,0,0,0,1,1,0,0,0,0,73,2.7,28,55,224,0,155,16,0,0,0,0,0,0,19:34,0:00,1:22,95,85,0,6.64,
Mike Reilly,Carolina,LD,60,2,22,24,4,34,0,0,0,0,0,0,0,0,0,0,62,3.2,4,21,72,0,107,12,0,1,0,0,0,0,19:26,0:00,1:01,68,64,0,7.05,
Ben Hutton,Pittsburgh,LD,62,0,24,24,7,14,0,0,0,0,0,0,0,0,0,0,59,0.0,84,21,97,0,76,7,0,0,0,0,0,0,15:01,0:00,0:15,66,59,0,7.42,
Markus Granlund,Nashville,LW/C/RW,75,11,12,23,-74,4,0,0,0,1,0,1,0,0,1,0,128,8.6,10,8,42,0.12,49,2,0,0,0,0,0,0,14:55,0:03,1:02,34,108,0,5.81,
Mustafa Kyllönen,Calgary,RW,82,11,12,23,-71,71,0,1,1,0,0,0,0,0,2,0,83,13.3,110,23,5,0,29,33,1,0,0,0,0,0,12:37,0:06,0:09,34,105,0,6.45,
Dylan Peterson,Minnesota,C,38,5,18,23,-1,4,1,0,1,0,0,0,0,0,0,0,67,7.5,8,8,6,0.48,16,2,0,0,0,0,0,0,14:01,0:09,0:00,31,32,0,6.71,
Graham Lillibridge,Edmonton,LD/RD,46,4,19,23,2,2,1,4,5,0,0,0,2,0,1,0,82,4.9,2,7,136,0,51,1,0,0,0,0,0,0,19:58,1:26,0:12,58,56,0,7.41,
Rasmus Ristolainen,Carolina,RD/LD,71,4,19,23,24,8,0,0,0,0,0,0,1,0,1,0,97,4.1,7,32,145,0,112,4,0,0,0,0,0,0,19:43,0:07,1:27,104,80,0,7.17,
Scott Mayfield,Philadelphia,RD,71,3,20,23,7,68,0,0,0,0,0,0,0,0,0,0,73,4.1,20,35,156,0,114,34,0,0,0,0,0,0,18:29,0:21,1:22,74,67,1,6.76,
Brian Dumoulin,Nashville,LD/RD,57,1,22,23,-40,30,0,0,0,0,0,0,0,0,0,0,41,2.4,12,35,155,0,124,10,0,1,0,0,0,0,20:21,0:07,0:58,57,97,0,6.77,
Olli Juolevi,Vancouver,LD,82,0,23,23,-6,14,0,3,3,0,0,0,0,0,0,0,75,0.0,12,32,203,0,108,7,0,0,0,0,0,0,17:26,0:28,0:52,75,81,0,6.99,
Darnell Nurse,Vegas,LD/RD,76,0,23,23,-25,34,0,1,1,0,0,0,0,0,0,0,74,0.0,43,41,228,0,125,17,0,0,0,0,0,0,17:28,0:41,1:02,78,103,0,6.89,
Jack Williams,Florida,RW,63,13,9,22,-29,8,3,1,4,0,0,0,1,0,1,0,83,15.7,9,9,41,0,31,4,0,0,0,0,0,0,13:10,0:12,0:00,30,59,1,6.73,
Xavier Simoneau,Detroit,C/LW/RW,70,10,12,22,-67,34,0,1,1,0,0,0,2,0,0,0,81,12.3,5,8,27,0.44,57,17,0,0,0,0,0,0,13:55,0:18,0:00,36,103,0,5.93,
Antti Tuomisto,Detroit,LD/RD,82,7,15,22,-56,6,0,0,0,1,0,1,1,0,0,0,76,9.2,28,37,44,0,111,3,0,0,0,0,0,0,18:07,0:21,1:04,77,133,0,6.59,
Martin Kaut,Nashville,RW,64,7,15,22,-24,10,0,1,1,0,0,0,0,0,0,0,95,7.4,6,8,48,0.06,36,5,0,0,0,0,0,0,14:07,0:30,0:12,34,58,0,6.95,
Michael Gildon,Calgary,LW,77,7,15,22,-51,54,0,0,0,0,0,0,0,0,0,0,69,10.1,105,17,11,0.20,48,27,0,0,0,0,0,0,11:43,0:01,0:05,29,80,1,6.68,
Tobias Björnfot,Arizona,LD/RD,82,6,16,22,-23,6,0,0,0,0,0,0,0,0,0,0,86,7.0,5,26,176,0,92,3,0,0,0,0,0,0,15:54,0:07,0:26,66,89,1,6.91,
Sargon Burström,Buffalo,RW,45,5,17,22,-8,2,0,0,0,0,0,0,0,0,0,0,70,7.1,4,8,3,0,12,1,0,0,0,0,0,0,13:04,0:07,0:00,36,44,0,6.89,
Kyle Daoud,Utica,LD,56,5,17,22,-16,6,0,4,4,0,0,0,1,0,3,0,59,8.5,3,18,5,0,61,3,0,0,0,0,0,0,16:23,0:50,0:07,48,64,0,6.63,
Alexander Votinov,San Jose,LD,56,3,19,22,-5,34,1,5,6,0,0,0,0,1,0,0,47,6.4,5,19,16,0,49,12,0,1,0,0,0,0,16:05,0:38,0:07,53,58,1,6.86,
Brett Kulak,NY Rangers,LD,82,3,19,22,6,52,0,0,0,1,0,1,0,0,0,0,60,5.0,44,43,109,0,127,26,0,0,0,0,0,0,18:19,0:00,1:48,75,69,0,6.65,
Ryan McDonagh,St. Louis,LD/RD,45,2,20,22,-5,22,0,0,0,0,0,0,2,0,1,0,72,2.8,18,21,127,0,74,6,0,1,0,0,0,0,19:26,0:06,1:17,49,54,1,7.13,
Marc-Édouard Vlasic,Calgary,LD,82,2,20,22,-65,33,0,0,0,0,4,4,0,0,1,0,83,2.4,117,66,167,0,238,14,1,0,0,0,0,0,23:01,0:07,4:12,68,133,0,6.72,
Ryan Donato,Minnesota,C/LW,33,11,10,21,-5,0,2,1,3,0,0,0,0,0,2,0,61,18.0,6,8,35,0.56,30,0,0,0,0,0,0,0,15:20,0:47,0:31,28,33,0,6.70,
Pyry Axerud,Toronto,C,32,11,10,21,-12,4,0,0,0,0,0,0,0,0,0,0,64,17.2,9,7,30,1.00,22,2,0,0,0,0,0,0,13:50,0:00,0:00,22,34,1,7.09,
Simon Knak,Calgary,C/LW/RW,77,8,13,21,-60,36,0,0,0,0,0,0,1,0,1,0,61,13.1,70,5,9,0.47,48,18,0,0,0,0,0,0,10:27,0:00,0:00,23,83,0,6.17,
Mark Jankowski,Calgary,C,79,8,13,21,-62,138,0,0,0,0,1,1,0,0,1,0,64,12.5,121,9,19,0.50,58,54,0,3,0,0,0,0,12:21,0:03,0:56,29,91,0,6.18,
Oliver Kylington,Calgary,LD/RD,82,3,18,21,-39,66,0,6,6,0,4,4,0,0,1,0,99,3.0,67,32,33,0,136,33,0,0,0,0,0,0,17:47,0:48,2:23,64,103,0,6.88,
William Villeneuve,Calgary,RD/LD,81,1,20,21,-53,20,0,4,4,0,1,1,0,0,0,0,67,1.5,90,40,48,0,127,10,0,0,0,0,0,0,16:51,0:43,1:40,50,103,0,6.83,
Mikhail Abramov,Toronto,RW/C,32,8,12,20,-3,0,0,0,0,0,0,0,0,0,1,0,49,16.3,1,3,2,0,9,0,0,0,0,0,0,0,14:16,0:15,0:00,32,35,0,7.00,
Kyle Jackson,Nashville,C,56,8,12,20,-23,4,0,0,0,0,0,0,3,0,0,0,70,11.4,7,5,6,0.39,24,2,0,0,0,0,0,0,12:51,0:00,0:00,36,59,1,6.30,
Oscar Klefbom,Los Angeles,LD,72,7,13,20,-10,24,0,1,1,0,0,0,0,0,1,0,90,7.8,9,28,252,0,118,12,0,0,0,0,0,0,20:44,0:13,1:21,75,85,0,6.92,
Drew Helleson,Ottawa,RD/LD,70,3,17,20,4,4,0,0,0,0,0,0,1,0,1,0,49,6.1,14,20,65,0,90,2,0,0,0,0,0,0,17:29,0:00,0:05,77,73,0,6.91,
Jonas Brodin,Minnesota,LD/RD,82,3,17,20,-9,4,0,4,4,0,1,1,1,0,1,0,80,3.8,13,38,170,0,110,2,0,0,0,0,0,0,17:31,0:37,0:51,76,85,0,6.94,
Josh Bailey,Los Angeles,RW/LW,45,2,18,20,-18,4,0,0,0,0,0,0,1,0,0,0,51,3.9,14,7,35,0,23,2,0,0,0,0,0,0,13:49,0:00,0:00,29,47,2,6.89,
Brandon Carlo,Colorado,RD,82,2,18,20,7,6,0,0,0,0,0,0,0,0,0,0,49,4.1,23,33,233,0,122,3,0,0,0,0,0,0,16:30,0:05,0:19,84,77,0,6.88,
Jordan Harris,Nashville,LD/RD,82,2,18,20,-89,10,1,1,2,0,0,0,0,0,0,0,82,2.4,11,16,48,0,123,5,0,0,0,0,0,0,18:39,0:53,0:02,60,149,0,6.54,
Nikita Okhotyuk,Edmonton,RD/LD,45,2,18,20,-21,38,0,0,0,0,0,0,0,0,0,0,57,3.5,29,32,163,0,67,19,0,0,0,0,0,0,19:56,0:51,0:44,49,70,0,6.58,
Evan Barratt,Philadelphia,C,78,9,10,19,-22,6,0,0,0,0,0,0,1,0,1,0,74,12.2,8,18,81,0.51,27,3,0,0,0,0,0,0,10:40,0:00,0:00,24,46,0,6.47,
Micke Osmanovic,Cleveland,C,30,8,11,19,0,2,0,0,0,0,0,0,0,0,1,0,37,21.6,1,1,9,0.52,22,1,0,0,0,0,0,0,14:54,0:10,0:00,22,22,0,6.40,
Alex Kerfoot,Anaheim,C/LW,43,7,12,19,-13,2,0,0,0,0,0,0,0,0,0,0,47,14.9,1,10,11,0.44,38,1,0,0,0,0,0,0,13:47,0:00,0:35,34,47,0,6.65,
Julius Honka,Buffalo,RD/LD,58,1,18,19,2,8,0,0,0,0,0,0,0,0,0,0,61,1.6,2,17,40,0,69,4,0,0,0,0,0,0,15:23,0:01,0:13,53,51,0,7.16,
Mattias Ekholm,Nashville,LD,82,1,18,19,-57,14,1,4,5,0,0,0,0,0,0,0,105,1.0,27,28,191,0,175,7,0,0,0,0,0,0,21:12,1:14,1:10,75,132,0,6.73,
Vladislav Gavrikov,Iowa,LD,82,1,18,19,-16,34,0,0,0,0,0,0,0,0,0,0,35,2.9,8,26,129,0,75,17,0,0,0,0,0,0,13:56,0:01,0:01,56,72,0,6.62,
Artem Guryev,Stockton,LD,73,3,15,18,-31,38,0,0,0,0,2,2,1,0,1,0,59,5.1,113,29,43,0,93,19,0,0,0,0,0,0,13:21,0:00,1:13,44,75,0,6.73,
Josh Manson,Nashville,RD,77,3,15,18,-48,80,0,0,0,0,1,1,0,0,0,0,55,5.5,41,43,214,0,177,30,0,2,0,0,0,0,19:42,0:01,0:53,81,129,0,6.56,
Marc Del Gaizo,Philadelphia,LD,72,1,17,18,-29,14,0,1,1,0,0,0,0,0,0,0,70,1.4,7,27,17,0,99,7,0,0,0,0,0,0,17:20,0:28,0:40,54,83,0,6.67,
Adam Pelech,Anaheim,LD,49,0,18,18,-17,16,0,1,1,0,0,0,0,0,0,0,44,0.0,16,22,140,0,77,8,0,0,0,0,0,0,18:58,0:19,0:40,45,62,0,6.76,
Sharbel Ericson,Montreal,LD,42,10,7,17,-4,0,0,0,0,0,0,0,2,0,2,0,93,10.8,7,13,7,0,16,0,0,0,0,0,0,0,12:58,0:00,0:00,24,28,0,6.93,
Carter Chorney,Calgary,RW,79,7,10,17,-40,14,0,2,2,0,0,0,0,0,2,0,85,8.2,105,12,6,0.00,26,7,0,0,0,0,0,0,10:36,0:08,0:07,26,66,0,6.75,
Quinton Byfield,Edmonton,C,72,7,10,17,-20,24,0,0,0,0,0,0,0,1,1,0,114,6.1,24,15,71,0.40,61,7,0,1,0,0,0,0,11:21,0:00,0:01,28,48,1,6.42,
Dominick Fensore,Los Angeles,LD,48,4,13,17,3,2,0,4,4,0,0,0,1,0,0,0,51,7.8,1,15,12,0,49,1,0,0,0,0,0,0,18:14,1:10,0:11,57,54,0,6.88,
Harri Niemenmaa,Ottawa,LD,46,2,15,17,-2,2,0,2,2,1,0,1,0,0,0,0,62,3.2,12,21,78,0,61,1,0,0,0,0,0,0,19:28,0:41,0:49,50,52,1,7.02,
Max Gildon,Edmonton,LD,46,2,15,17,-26,6,0,3,3,0,0,0,0,0,0,0,60,3.3,5,12,54,0,35,3,0,0,0,0,0,0,16:13,0:34,0:00,55,81,0,6.63,
David Farrance,Tampa Bay,LD/RD,65,2,15,17,-20,25,0,0,0,0,0,0,0,0,1,0,71,2.8,7,16,56,0,61,10,1,0,0,0,1,1,13:58,0:00,0:05,60,80,0,6.97,
Will Borgen,Minnesota,RD/LD,82,0,17,17,-28,6,0,0,0,0,0,0,0,0,0,0,76,0.0,7,39,211,0,131,3,0,0,0,0,0,0,16:12,0:00,1:08,55,83,0,6.67,
Evgeny Svechnikov,St. Louis,RW/LW,23,9,7,16,3,8,0,0,0,0,0,0,1,0,0,0,50,18.0,1,3,7,0,11,4,0,0,0,0,0,0,13:44,0:00,0:00,22,19,0,7.22,
Daniil Gushchin,Columbus,RW/LW,20,8,8,16,2,12,0,1,1,0,0,0,1,0,2,0,48,16.7,4,5,5,0,12,1,0,1,0,0,0,0,16:08,0:56,0:00,19,17,1,7.40,
Mark Izmailov,Providence,RW/LW,45,7,9,16,-4,29,0,0,0,0,0,0,2,0,1,0,75,9.3,9,7,26,0,12,2,3,1,0,0,3,2,14:14,0:00,0:05,31,35,0,6.67,
Jakob Pelletier,Calgary,LW,75,6,10,16,-61,45,0,1,1,0,0,0,0,0,0,0,70,8.6,48,18,2,0.00,21,15,1,0,0,1,0,0,10:15,0:00,0:00,17,78,1,6.55,
Cale Fleury,Philadelphia,RD,48,5,11,16,-6,10,0,0,0,0,0,0,0,1,0,0,66,7.6,20,16,83,0,72,5,0,0,0,0,0,0,19:17,0:00,0:10,56,62,0,6.79,
Luke Toporowski,Anaheim,LW/RW,46,4,12,16,-22,19,0,0,0,0,0,0,0,0,0,0,67,6.0,13,6,7,0,14,7,1,0,0,0,1,0,13:10,0:19,0:01,26,48,0,6.50,
Mitchell Vande Sompel,Anaheim,LD,64,4,12,16,-29,22,1,0,1,0,0,0,0,0,0,0,51,7.8,10,21,31,0,88,11,0,0,0,0,0,0,18:08,0:34,0:14,49,78,0,6.66,
Dylan Samberg,Carolina,LD,62,4,12,16,-17,78,0,0,0,0,0,0,0,0,1,0,62,6.5,19,25,272,0,74,34,0,1,0,0,0,0,18:01,0:00,0:15,51,68,0,6.61,
Erik Cernák,Columbus,RD,54,3,13,16,-16,38,0,0,0,0,0,0,0,0,0,0,35,8.6,15,32,193,0,70,14,0,1,0,0,0,0,18:04,0:00,0:09,48,64,0,6.54,
Phillip Tomasino,Syracuse,C,30,7,8,15,-16,0,0,0,0,0,0,0,0,0,2,0,52,13.5,4,1,4,0.40,12,0,0,0,0,0,0,0,13:44,0:00,0:00,20,36,0,6.33,
Matthew Newbury,Detroit,LW,34,5,10,15,-28,2,0,0,0,0,0,0,0,0,1,0,41,12.2,5,8,3,0,4,1,0,0,0,0,0,0,13:33,0:00,0:00,20,48,1,6.62,
Tye Felhaber,Tampa Bay,LW/C,21,4,11,15,-3,12,0,0,0,0,0,0,0,0,1,0,49,8.2,5,2,4,0.12,7,1,0,1,0,0,0,0,13:31,0:42,0:00,19,22,0,6.95,
Danila Zhuravlyov,San Diego,RD/LD,43,2,13,15,-4,4,0,0,0,0,0,0,0,0,0,0,46,4.3,1,15,9,0,23,2,0,0,0,0,0,0,14:25,0:15,0:17,28,32,0,6.63,
Nils Lundkvist,St. Louis,RD/LD,43,1,14,15,-8,4,0,0,0,0,0,0,0,0,0,0,51,2.0,12,15,36,0,52,2,0,0,0,0,0,0,18:27,0:00,0:20,47,55,0,6.95,
Josh Teves,Vancouver,LD,79,1,14,15,-28,26,0,1,1,0,0,0,1,0,0,0,55,1.8,13,23,59,0,95,13,0,0,0,0,0,0,16:13,0:04,0:15,64,92,0,6.57,
Dmitry Melenchuk,Florida,LW,34,10,4,14,-15,0,0,0,0,0,0,0,1,0,3,0,52,19.2,0,7,3,0,11,0,0,0,0,0,0,0,13:27,0:00,0:00,19,34,1,6.65,
Sven Bärtschi,New Jersey,LW/RW,31,7,7,14,-10,6,0,0,0,0,0,0,1,0,0,0,55,12.7,4,3,8,0,14,3,0,0,0,0,0,0,14:17,0:17,0:00,17,27,1,6.74,
Adam Mascherin,Ottawa,LW,29,6,8,14,-1,2,0,0,0,0,0,0,0,1,1,0,56,10.7,4,5,8,0,16,1,0,0,0,0,0,0,13:26,0:11,0:00,17,18,0,7.28,
Ty Smilanic,Charlotte,LW/RW,55,5,9,14,-11,0,0,1,1,0,0,0,1,0,0,0,93,5.4,4,5,1,0,25,0,0,0,0,0,0,0,11:27,0:01,0:00,19,30,0,6.80,
Yegor Afanasyev,Los Angeles,LW/RW,33,5,9,14,-13,0,0,0,0,0,0,0,0,0,2,0,60,8.3,12,6,2,0,22,0,0,0,0,0,0,0,14:43,0:21,0:00,20,33,1,6.64,
Ryan Johnson,Boston,LD/RD,53,5,9,14,-17,14,0,0,0,0,0,0,0,0,0,0,50,10.0,1,19,130,0,67,7,0,0,0,0,0,0,15:40,0:01,0:23,42,59,1,6.91,
Jan Mysak,Anaheim,LW/RW,52,4,10,14,-10,4,0,0,0,0,0,0,0,0,1,0,117,3.4,19,14,3,0,24,2,0,0,0,0,0,0,12:12,0:09,0:00,22,32,0,6.98,
René Littbarski,Bridgeport,LW/RW,40,3,11,14,-8,2,0,0,0,0,0,0,0,0,0,0,70,4.3,14,17,2,0,11,1,0,0,0,0,0,0,13:38,0:00,0:00,24,32,0,6.78,
Jérémy Roy,San Jose,RD/LD,63,3,11,14,-22,46,0,0,0,0,0,0,0,0,0,0,58,5.2,9,25,62,0,85,23,0,0,0,0,0,0,15:35,0:00,0:29,48,70,0,6.70,
Axel Persson,Tucson,RD,44,2,12,14,-19,2,0,1,1,0,0,0,0,0,0,0,41,4.9,6,16,24,0,43,1,0,0,0,0,0,0,16:21,0:14,0:12,42,61,0,6.68,
Sean Durzi,Montreal,RD,59,0,14,14,-6,12,0,0,0,0,0,0,0,0,0,0,60,0.0,15,19,22,0,56,6,0,0,0,0,0,0,16:00,0:00,0:12,55,61,0,6.76,
Danny Zhilkin,Rockford,C,28,5,8,13,-7,0,0,0,0,0,0,0,0,0,0,0,43,11.6,1,3,7,0.38,6,0,0,0,0,0,0,0,13:20,0:00,0:00,15,22,0,6.61,
Macauley Carson,Los Angeles,LW/C,26,4,9,13,-13,2,0,0,0,0,0,0,0,0,2,0,39,10.3,2,6,50,0.13,22,1,0,0,0,0,0,0,13:08,0:00,0:04,14,27,0,6.69,
Marcel Thiry,Vancouver,C/RW/LW,48,4,9,13,-12,12,0,0,0,0,0,0,0,0,1,0,57,7.0,6,4,9,0.46,30,6,0,0,0,0,0,0,12:21,0:03,0:00,24,36,0,6.31,
Jacob Semik,Los Angeles,LD/RD,32,3,10,13,4,2,0,1,1,0,0,0,2,0,0,0,50,6.0,3,14,86,0,22,1,0,0,0,0,0,0,19:40,1:30,0:03,43,39,0,6.88,
Jacob Bernard-Docker,Ottawa,RD,37,1,12,13,-8,6,0,0,0,0,0,0,0,0,0,0,39,2.6,3,12,27,0,46,3,0,0,0,0,0,0,17:42,0:00,0:03,41,49,0,6.70,
Joey Anderson,New Jersey,RW,22,5,7,12,-6,2,0,0,0,0,0,0,2,0,1,0,40,12.5,17,6,12,0,12,1,0,0,0,0,0,0,15:02,0:00,1:07,16,22,0,6.86,
Valtteri Heidari,Wilkes-Barre/Scranton,C,19,4,8,12,6,2,0,1,1,0,0,0,1,0,0,0,59,6.8,23,3,0,0.55,19,1,0,0,0,0,0,0,15:52,1:34,0:00,18,12,1,7.21,
Ethan Bear,Los Angeles,RD,58,3,9,12,-33,4,0,0,0,0,1,1,0,0,1,0,48,6.3,9,14,71,0,74,2,0,0,0,0,0,0,17:51,0:28,0:17,42,75,0,6.66,
Niklas Norman,Winnipeg,C/LW/RW,36,3,9,12,1,8,0,0,0,0,0,0,0,0,0,0,43,7.0,1,3,4,0,9,4,0,0,0,0,0,0,12:43,0:00,0:00,25,24,0,6.81,
Charlie Coyle,Hershey,C/RW,27,2,10,12,-6,8,0,0,0,0,0,0,0,0,0,0,39,5.1,5,14,16,0,38,4,0,0,0,0,0,0,17:02,0:00,0:36,34,40,0,7.07,
Rafael Downing,Tucson,RW,16,7,4,11,-4,0,1,0,1,0,0,0,0,0,2,0,44,15.9,3,5,0,0,10,0,0,0,0,0,0,0,14:22,0:19,0:00,13,17,0,7.13,
Dejan Johnsson,Laval,LD,13,6,5,11,2,0,0,0,0,0,0,0,0,0,1,0,46,13.0,9,4,1,0,5,0,0,0,0,0,0,0,13:21,0:00,0:00,16,14,0,7.85,
Fredy Müller,Vegas,RW,22,5,6,11,3,0,0,0,0,0,0,0,0,0,0,0,25,20.0,2,5,62,0,4,0,0,0,0,0,0,0,12:42,0:00,0:02,16,13,1,6.95,
Daniil Gutik,San Jose,LW,22,1,10,11,-14,6,0,0,0,0,0,0,0,0,0,0,29,3.4,9,6,8,0,16,3,0,0,0,0,0,0,14:10,0:00,0:38,8,22,1,6.50,
Ondrej Psenicka,Winnipeg,LW,17,6,4,10,-7,8,2,0,2,0,0,0,0,0,0,0,25,24.0,1,3,2,0,5,4,0,0,0,0,0,0,14:35,0:42,0:00,10,17,0,6.76,
Arjun Ryan,Belleville,C,21,4,6,10,-6,0,0,0,0,0,0,0,0,0,2,0,24,16.7,0,5,0,0.48,4,0,0,0,0,0,0,0,12:56,0:00,0:00,17,23,0,6.29,
Daniil Avershin,St. Louis,RW/LW,29,3,7,10,-13,2,0,0,0,0,0,0,0,0,0,0,55,5.5,9,9,2,0,16,1,0,0,0,0,0,0,13:24,0:00,0:00,20,33,0,6.62,
Eric Benson,Bridgeport,C,18,3,7,10,6,4,0,0,0,0,0,0,0,0,0,0,32,9.4,6,0,0,0.48,3,2,0,0,0,0,0,0,12:31,0:00,0:00,15,9,0,6.78,
Philippe Myers,Los Angeles,RD,31,1,9,10,-11,12,0,0,0,0,0,0,0,0,0,0,22,4.5,2,15,66,0,56,6,0,0,0,0,0,0,18:10,0:00,0:46,26,37,0,6.71,
Brett Pesce,Los Angeles,RD,60,1,9,10,-26,24,0,1,1,0,0,0,1,0,0,0,59,1.7,7,34,180,0,95,12,0,0,0,0,0,0,19:01,0:26,0:54,56,82,0,6.70,
Boston Massé,Springfield,LW,25,6,3,9,-9,2,0,0,0,0,0,0,0,0,0,0,44,13.6,2,1,6,0,10,1,0,0,0,0,0,0,13:04,0:00,0:00,15,24,0,6.80,
Saikou Wargh,Columbus,LW,14,4,5,9,0,0,0,0,0,0,0,0,0,0,1,0,10,40.0,2,3,2,0,6,0,0,0,0,0,0,0,12:45,0:12,0:00,12,12,0,7.36,
Scott Harrington,New Jersey,RD/LD,21,4,5,9,10,2,0,2,2,1,0,1,0,0,0,0,22,18.2,6,16,52,0,52,1,0,0,0,0,0,0,20:34,0:16,1:11,28,18,0,7.00,
Derek Stepan,St. Louis,C,19,3,6,9,2,0,0,0,0,0,0,0,1,0,0,0,21,14.3,0,3,24,0.55,13,0,0,0,0,0,0,0,13:42,0:00,0:00,11,9,0,6.58,
Patrick Dube,Vancouver,C,21,3,6,9,2,0,0,0,0,0,0,0,0,0,0,0,29,10.3,3,5,11,0.48,8,0,0,0,0,0,0,0,12:14,0:00,0:00,14,12,0,6.86,
Leaford Sheppard,Utica,RW,22,3,6,9,0,0,0,0,0,0,0,0,0,0,0,0,43,7.0,6,5,6,0,8,0,0,0,0,0,0,0,13:03,0:00,0:00,12,12,0,6.82,
Karl-Etienne Gauvreau,Winnipeg,RD,22,2,7,9,0,0,0,0,0,0,0,0,0,1,0,0,14,14.3,21,4,6,0,19,0,0,0,0,0,0,0,17:49,0:06,0:02,28,28,0,6.91,
Jacob Olofsson,Laval,C/RW,35,2,7,9,-8,10,0,0,0,0,0,0,0,0,0,0,41,4.9,6,3,18,0.45,28,5,0,0,0,0,0,0,13:46,0:00,0:15,18,26,0,6.17,
Zack Terry,Montreal,RD,19,1,8,9,13,0,0,0,0,0,0,0,0,0,0,0,24,4.2,3,4,2,0,10,0,0,0,0,0,0,0,14:47,0:00,0:05,20,7,0,7.21,
Olli Määttä,Pittsburgh,LD,14,1,8,9,-2,2,0,0,0,0,0,0,0,0,0,0,36,2.8,11,4,12,0,24,1,0,0,0,0,0,0,19:29,0:53,0:47,23,25,0,7.79,
Tyler Madej,Florida,C,25,1,8,9,-16,18,0,1,1,0,0,0,0,0,0,0,16,6.3,8,4,4,0.34,11,4,0,1,0,0,0,0,13:50,0:15,0:00,13,29,0,5.80,
Stew Quinn,Colorado,RW,32,4,4,8,1,0,0,0,0,0,0,0,0,0,0,0,51,7.8,6,14,24,0,15,0,0,0,0,0,0,0,12:45,0:00,0:05,21,20,0,6.56,
Michael Mancinelli,Toronto,C/RW,32,4,4,8,-17,18,0,0,0,0,0,0,0,0,1,0,36,11.1,0,8,1,0,10,4,0,1,0,0,0,0,13:20,0:00,0:00,19,36,1,6.59,
Nikita Popugayev,San Antonio,RW/LW,16,3,5,8,1,0,0,0,0,0,0,0,0,0,0,0,41,7.3,3,7,2,0,3,0,0,0,0,0,0,0,14:08,0:03,0:40,11,10,0,7.00,
Calle Järnkrok,Chicago,C/RW/LW,14,3,5,8,-1,2,0,0,0,0,0,0,0,0,0,0,16,18.8,1,2,9,0.54,9,1,0,0,0,0,0,0,12:53,0:00,0:00,12,13,0,6.50,
Maxim Cajkovic,NY Islanders,RW/LW,18,2,6,8,-2,2,0,0,0,0,0,0,0,0,0,0,24,8.3,0,3,0,0,11,1,0,0,0,0,0,0,12:45,0:00,0:00,11,13,1,6.89,
