Name,Team,Pos,GP,G,A,P,PlusMinus,PIM,PPg,PPa,PPp,SHg,SHa,SHp,GWG,GT,FG,EN,SOG,Sh ,HT,GA,TA,FO,SB,2,5,Mi,Ma,GM,FI,FW,ATOI,APPT,APKT,+,-,FS,AvR,
Dillon Dubé,Stockton,C/RW,52,4,5,9,-41,32,0,0,0,0,0,0,0,0,2,0,45,8.9,48,13,12,0.49,31,16,0,0,0,0,0,0,11:50,0:02,0:00,18,59,0,6.02,
Raphaël Lavoie,NY Islanders,RW/C,10,3,6,9,-3,0,0,0,0,0,0,0,0,0,0,0,33,9.1,7,2,12,0,3,0,0,0,0,0,0,0,13:42,0:00,0:00,10,13,0,7.50,
Shane Gersich,South Carolina,LW/C,26,3,6,9,-11,2,0,0,0,0,0,0,0,0,1,0,46,6.5,2,6,2,0,10,1,0,0,0,0,0,0,13:21,0:00,0:00,16,27,1,6.77,
Sean Durzi,Buffalo,RD,34,2,7,9,-4,10,0,0,0,0,0,0,0,0,0,0,34,5.9,5,12,13,0,44,5,0,0,0,0,0,0,16:53,0:00,0:00,42,46,0,6.82,
Slava Demin,Vegas,LD/RD,44,2,7,9,-52,44,0,0,0,0,0,0,0,0,0,0,39,5.1,30,16,5,0,83,17,0,1,0,0,0,0,20:49,0:21,1:29,37,89,0,6.18,
Josh Manson,Dallas,RD,48,2,7,9,-34,51,1,0,1,0,0,0,0,0,0,0,48,4.2,92,28,77,0,105,18,1,1,0,0,1,1,18:35,0:21,2:02,29,63,0,6.63,
Louis Belpedio,Minnesota,RD,38,1,8,9,-14,12,0,0,0,0,0,0,1,0,0,0,36,2.8,4,17,66,0,49,6,0,0,0,0,0,0,17:48,1:04,0:11,34,48,0,6.84,
William Villeneuve,Stockton,RD/LD,53,1,8,9,-28,14,0,1,1,0,1,1,0,0,0,0,31,3.2,46,23,7,0,66,7,0,0,0,0,0,0,14:07,0:09,0:27,28,56,0,6.68,
Aapeli Räsänen,Bakersfield,C,17,2,6,8,3,0,0,0,0,0,0,0,1,0,0,0,25,8.0,5,6,35,0.57,24,0,0,0,0,0,0,0,14:56,0:00,1:38,14,11,0,6.59,
Adam Erne,Detroit,LW/RW,17,2,6,8,-15,14,0,0,0,0,0,0,1,0,1,0,20,10.0,5,5,27,0,5,7,0,0,0,0,0,0,17:53,0:00,0:03,13,28,0,6.29,
Matt Benning,Vancouver,RD,42,2,6,8,1,16,0,0,0,0,0,0,0,0,0,0,56,3.6,5,16,64,0,51,8,0,0,0,0,0,0,17:54,0:08,0:10,47,46,0,6.74,
Arttu Ruotsalainen,Calgary,LW/C,52,1,7,8,-31,13,0,0,0,0,0,0,0,0,0,0,29,3.4,35,8,0,0.10,23,4,1,0,0,0,0,0,11:23,0:03,0:00,19,50,0,6.42,
Jack Rathbone,Chicago,LD/RD,20,0,8,8,-12,4,0,1,1,0,0,0,0,0,0,0,31,0.0,5,3,7,0,22,2,0,0,0,0,0,0,18:39,1:00,0:02,23,35,0,7.05,
Milan Lucic,Stockton,LW,45,5,2,7,-40,91,0,0,0,0,0,0,0,0,1,0,29,17.2,58,5,15,0,31,18,5,3,0,0,5,3,11:16,0:01,0:00,10,50,0,6.49,
