Name,Team,Pos,GP,G,A,P,PlusMinus,PIM,PPg,PPa,PPp,SHg,SHa,SHp,GWG,GT,FG,EN,SOG,Sh,HT,GA,TA,FO,SB,2,5,Mi,Ma,GM,FI,FW,ATOI,APPT,APKT,+,-,FS,AvR,
Lukas Elvenes,Chicago,C/RW,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,---,6,1,0,0.18,0,0,0,0,0,0,0,0,10:22,0:00,0:00,2,2,0,7.00,
Gustav Bouramman,Iowa,RD,4,0,2,2,-1,0,0,1,1,0,0,0,0,0,0,0,4,0.0,0,2,1,0,7,0,0,0,0,0,0,0,17:27,0:26,0:01,3,4,0,7.00,
Charles Hudon,,LW/RW,6,0,2,2,-2,2,0,0,0,0,0,0,0,0,0,0,18,0.0,1,1,1,0,3,1,0,0,0,0,0,0,15:33,0:00,0:00,3,5,0,6.67,
Christian Folin,Laval,RD/LD,11,0,2,2,-4,2,0,0,0,0,0,0,0,0,0,0,7,0.0,6,2,10,0,25,1,0,0,0,0,0,0,19:03,0:00,1:14,9,13,0,6.64,
Joel Hanley,Laval,LD,11,0,2,2,-7,6,0,1,1,0,0,0,0,0,0,0,8,0.0,5,3,8,0,8,3,0,0,0,0,0,0,17:45,1:10,0:10,7,14,0,6.45,
Calvin De Haan,New Jersey,LD/RD,21,0,2,2,-17,6,0,0,0,0,0,0,0,0,0,0,20,0.0,36,11,23,0,48,3,0,0,0,0,0,0,22:25,0:51,4:42,13,30,0,6.38,
Zach Sanford,Calgary,LW,19,0,2,2,-7,12,0,0,0,0,0,0,0,0,0,0,8,0.0,35,3,4,0,6,6,0,0,0,0,0,0,11:47,0:05,0:00,4,11,0,6.58,
Nathan Walker,San Antonio,LW,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,25.0,1,0,0,0.13,0,0,0,0,0,0,0,0,11:20,0:00,0:00,1,0,0,7.00,
Joel Kellman,San Jose,C,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,33.3,0,0,1,0,3,0,0,0,0,0,0,0,12:17,0:00,0:00,2,2,0,6.50,
Jordan Nolan,San Antonio,C/RW/LW,6,1,0,1,-3,0,0,0,0,0,0,0,1,0,0,0,11,9.1,2,3,5,0.60,1,0,0,0,0,0,0,0,14:10,0:00,0:00,1,4,0,6.17,
Anton Lindholm,Colorado,LD,6,1,0,1,-9,0,0,0,0,0,0,0,0,0,0,0,2,50.0,0,1,10,0,7,0,0,0,0,0,0,0,18:40,0:00,0:00,6,15,0,6.17,
Nicolas Roy,Chicago,C/RW,2,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,2,50.0,2,0,0,0.57,3,1,0,0,0,0,0,0,13:26,0:00,0:00,1,1,0,6.50,
Luke Glendening,Grand Rapids,C/RW,11,1,0,1,-3,2,0,0,0,0,0,0,0,0,0,0,20,5.0,18,3,5,0.66,10,1,0,0,0,0,0,0,15:15,0:00,2:32,3,6,0,6.36,
Blake Comeau,Texas,RW/LW,7,1,0,1,-3,4,0,0,0,0,0,0,0,0,0,0,8,12.5,11,2,0,0,0,2,0,0,0,0,0,0,14:01,0:00,0:54,1,4,0,6.29,
Kyle Brodziak,Wichita,C,4,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0.0,2,1,3,0.59,1,0,0,0,0,0,0,0,12:30,0:00,0:00,3,1,0,6.50,
Timothy Liljegren,Toronto,RD,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,---,4,0,0,0,0,0,0,0,0,0,0,0,10:42,0:00,0:00,1,0,0,8.00,
Jack Badini,San Diego,C,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1,0,0,0,0,0,0,0,0,0,0,0,9:00,0:00,0:00,1,0,0,7.50,
Jani Hakanpää,San Diego,RD,1,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,---,2,0,0,0,2,0,0,0,0,0,0,0,16:49,0:00,0:00,1,2,0,7.00,
Fredrik Claesson,Calgary,LD,4,0,1,1,-1,0,0,1,1,0,0,0,0,0,0,0,6,0.0,3,1,3,0,2,0,0,0,0,0,0,0,14:15,1:57,2:15,1,2,0,6.75,
Johan Larsson,Rochester,C/LW,3,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0.59,1,0,0,0,0,0,0,0,11:18,0:00,0:00,3,4,0,6.33,
Gavin Bayreuther,Texas,LD,5,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,9,2,5,0,7,0,0,0,0,0,0,0,19:19,0:29,0:00,5,6,0,6.80,
Dylan Gambrell,San Jose,C,4,0,1,1,-2,0,0,0,0,0,0,0,0,0,0,0,8,0.0,1,1,2,0,4,0,0,0,0,0,0,0,12:39,0:00,0:00,2,4,0,7.00,
Joakim Nordström,Boston,C/LW,9,0,1,1,-5,0,0,0,0,0,0,0,0,0,0,0,13,0.0,7,0,1,0.46,8,0,0,0,0,0,0,0,12:54,0:00,0:26,3,8,0,6.11,
Josh Jacobs,Minnesota,RD,8,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,6,0.0,5,3,1,0,6,1,0,0,0,0,0,0,19:37,1:15,1:22,10,9,0,6.50,
Markus Hännikäinen,Columbus,LW/RW,5,0,1,1,-5,2,0,0,0,0,0,0,0,0,0,0,6,0.0,4,2,2,0,0,1,0,0,0,0,0,0,13:01,0:00,0:00,1,6,0,6.40,
Scott Perunovich,St. Louis,LD,8,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,5,0.0,2,6,2,0,6,2,0,0,0,0,0,0,15:26,0:59,0:05,10,10,0,6.50,
Brandon Manning,Bakersfield,LD/RD,3,0,1,1,2,6,0,0,0,0,0,0,0,0,0,0,1,0.0,3,2,6,0,4,3,0,0,0,0,0,0,16:36,0:00,0:35,3,1,0,7.00,
Brandon Davidson,Calgary,RD/LD,6,0,1,1,-2,7,0,0,0,0,0,0,0,0,0,0,4,0.0,12,0,4,0,7,1,1,0,0,0,1,0,13:48,0:00,1:45,2,4,0,7.00,
Brett Lernout,Vegas,RD,17,0,1,1,-7,12,0,0,0,0,0,0,0,0,0,0,10,0.0,32,4,8,0,11,6,0,0,0,0,0,0,13:34,0:00,0:34,5,12,0,6.41,
Curtis McKenzie,Chicago,LW,13,0,1,1,-4,35,0,0,0,0,0,0,0,0,0,0,13,0.0,28,3,3,0,8,10,1,1,0,0,1,0,10:44,0:07,0:00,2,6,0,6.69,
Colby Sissons,Binghamton,LD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,1,2,0,3,0,0,0,0,0,0,0,13:26,0:00,0:00,0,0,0,7.00,
Patrick Sieloff,San Diego,LD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,0,0,1,0,1,0,0,0,0,0,0,0,9:11,0:00,0:00,0,0,0,7.00,
Kyle Capobianco,Tucson,LD,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,---,0,0,0,0,0,0,0,0,0,0,0,0,14:22,0:00,0:00,0,1,0,6.00,
Jayden Halbgewachs,San Jose,LW/C,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0,0,0,0,1,0,0,0,0,0,0,0,13:35,0:00,0:00,0,1,0,6.50,
Morgan Klimchuk,San Antonio,LW,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,1,0,1,0,0,0,0,0,0,0,11:58,0:00,0:00,0,1,0,6.50,
Greg McKegg,Hartford,C/LW,4,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,3,0,1,0,6,0,0,0,0,0,0,0,11:35,0:00,0:00,1,2,0,6.75,
Filip Chlapík,Belleville,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,---,0,0,0,0.20,3,0,0,0,0,0,0,0,15:53,0:00,0:00,0,1,0,5.00,
Carter Verhaeghe,Syracuse,C/LW,2,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0,0,0,0.43,2,0,0,0,0,0,0,0,11:54,0:00,0:00,1,3,0,6.50,
Antti Suomela,San Jose,C,4,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,4,0.0,1,1,0,0.29,3,0,0,0,0,0,0,0,13:10,0:00,0:00,0,5,0,5.25,
Nicolas Deslauriers,San Diego,LW/RW,9,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,6,0.0,26,6,5,0,9,0,0,0,0,0,0,0,15:05,0:00,2:40,0,6,0,6.33,
Ben Harpur,Toronto,RD,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,5,0.0,5,4,2,0,16,1,0,0,0,0,0,0,19:00,0:00,3:06,3,2,0,7.00,
Joey LaLeggia,San Antonio,LD,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0.0,2,1,0,0,1,1,0,0,0,0,0,0,12:54,0:00,0:00,2,1,0,7.00,
Alex Barré-Boulet,Syracuse,C,4,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,4,0.0,0,0,0,0.59,2,1,0,0,0,0,0,0,11:24,0:00,0:00,0,1,0,6.00,
Jaycob Megna,Chicago,LD,3,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,2,0.0,9,2,1,0,6,1,0,0,0,0,0,0,18:01,0:00,1:37,0,2,0,6.67,
Marco Scandella,Cincinnati,LD,3,0,0,0,-4,2,0,0,0,0,0,0,0,0,0,0,1,0.0,7,0,5,0,0,1,0,0,0,0,0,0,13:40,0:00,0:54,0,4,0,6.33,
Robert Bortuzzo,San Antonio,RD/LD,2,0,0,0,-1,4,0,0,0,0,0,0,0,0,0,0,2,0.0,5,0,1,0,3,2,0,0,0,0,0,0,14:25,0:00,0:20,0,1,0,6.50,
Brian Gibbons,Syracuse,RW/C/LW,5,0,0,0,-1,4,0,0,0,0,0,0,0,0,0,0,3,0.0,8,1,1,0,0,2,0,0,0,0,0,0,10:48,0:00,0:00,1,2,0,6.40,
Nick Shore,Toronto,C,6,0,0,0,-5,4,0,0,0,0,0,0,0,0,0,0,7,0.0,5,0,1,0.56,9,2,0,0,0,0,0,0,10:46,0:00,0:00,0,5,0,6.33,
Milan Lucic,Calgary,LW,6,0,0,0,-8,6,0,0,0,0,0,0,0,0,0,0,4,0.0,11,0,0,0,0,3,0,0,0,0,0,0,10:30,0:00,0:23,0,8,0,6.33,
Tyrell Goulbourne,Chicago,LW,12,0,0,0,-2,24,0,0,0,0,0,0,0,0,0,0,5,0.0,13,5,5,0,4,7,0,1,0,0,0,0,10:34,0:00,0:00,1,3,0,6.25,
